original_filename,new_path,placement,visual_description,sha256
img.png,setup/godot-create-project.png,Setup: create the Godot project,Project creation dialog: choose Forward+. Set Project Path to your own Students-works folder and Version Control Metadata to None; the captured dialog still uses an earlier path and Git metadata.,135e56c3c75f93081f010e8e54acba6b7d3d449652135fa7a1478b90d4102904
img_1.png,setup/godot-attach-csharp-script.png,Setup: attach SetupCheck.cs,The Attach Script dialog offers C# and Node inheritance. Replace the displayed Node.cs filename with SetupCheck.cs before creating the script.,6854a8f1800015df0a2b0da6c35e73955bdb86eb3b0f957c235097a0ac0148f2
img_2.png,setup/godot-csharp-setup-output.png,Setup: verify the output,The Output panel contains “C# workshop setup works.” The captured editor is Godot 4.6.3 .NET.,931839a3a1a96e9b3aa0ca96e034fd82b0b71c4184a84c688dfec98254c0c2fc
img_3.png,reference/colored-pencil-planet-inspiration.png,A2: choose a planet palette,Design inspiration for colours and surface patterns. These detailed illustrated planets are not the output of the two-colour noise recipe.,fe16efa8bd853f751d152913569a4bc5812fe4c96e834e0f1fdb6e6a0931fe0f
img_4.png,reference/colored-pencil-rocket-inspiration.png,A3: rocket design reference,"Design inspiration: a pointed nose, cylindrical body, nozzle, and fins. The workshop model uses simpler geometry and your own colour choices.",74cd92fc7256fb73d5f622f55011a5f591f7e16a6356eb4176bb3104da603f14
img_5.png,blender/planet-sphere-dimensions.png,A2: model the sphere,The Item panel shows dimensions of 4 on each axis and scale 1. Name your sphere Planet; the capture still uses Sphere.,cf70795c191b053e4d53c62edac9b65a2488cdd64ee16886e799f526f4598f8a
img_6.png,blender/planet-new-material.png,A2: create the material,The starting material has Principled BSDF connected to Material Output. This is the graph before adding the procedural nodes or changing roughness.,e48aa800151b3e118fb19f9b6f91679e4a73f782dd078a1b9d354a26779774a8
img_7.png,blender/planet-procedural-material-preview.png,A2: optional recorded material variation,A completed blue-and-green material from the rehearsal. This capture uses the Color-output variation described in the image notes; your Factor-based recipe can produce a different patch pattern.,cf85ee7b1f839f73ee9d11feb7d57e377a6ac1bb9937c8b27b1e19f1e1b7511e
img_8.png,reference/planet-noise-color-output-variation.png,Image notes: procedural material variation,Recorded variation: Noise Color feeds Color Ramp Factor through an implicit conversion. The main walkthrough uses the gray Noise Factor output instead.,f7e04ea113b799f0b8c8add12ebf8ecf7f2494117c94284d0d6e60de504efdcf
img_9.png,blender/rocket-primitives-and-unshaped-fin.png,A3: create the primitives,"Initial blockout: body, nose, nozzle, and a rectangular fin. The fin has not yet been shaped or repeated.",ba8767fd9aadde384e2ba45973d67eaf540e9c87d40290c3ff6f768225c39d62
img_10.png,blender/apply-object-scale-menu.png,A3: apply scale,"Use Apply Scale in Object Mode before the bevel and array steps. This menu capture shows the command, not the resulting transforms.",9c1c861a918fdba5adad2b669a00349abc8ba380121062174835f90f8af4fbf4
img_11.png,blender/rocket-untextured-fins.png,A3: completed rocket geometry,"The rocket silhouette after shaping and repeating the fins, before texturing. The image shows the result; the array settings are explained separately.",329744c719247ccaa2480350af8019e91686813845e70def63b5b7b8ea9320a2
img_13.png,blender/rocket-atlas-material-nodes.png,A4: create the shared image material,The atlas supplies Base Color and the material roughness is 0.85. The mixed colours on the small rocket preview show why the UV placement step is still needed.,88fbc7af44c1442505512e62e619e2a59a6e8eaedc4ef120b9d959c8619fd55d
img_14.png,blender/rocket-textured-uv-result.png,A4: inspect the UV result,Example after placing each part’s UV islands within a chosen atlas patch. The visible window is optional; your colours can differ.,fe8032fdd239e9978476f30c909655ed75d90c22d36d76d07fd7e92e4b62934c
img_15.png,blender/rocket-joined-export-transforms.png,A4: inspect the joined export object,"The joined export mesh is named Rocket, with zero location/rotation and unit scale. This earlier capture shows only the export object; keep the editable RocketSource collection in your own file.",f576a3a2c19360378254d5c7c4e49a092fdba66f5dc5ee7e4c65e20d0abc8bee
